,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
0,30-01-20,1,1,0,0,0,0
1,31-01-20,0,1,0,0,0,0
2,01-02-20,0,1,0,0,0,0
3,02-02-20,1,2,0,0,0,0
4,03-02-20,1,3,0,0,0,0
5,04-02-20,0,3,0,0,0,0
6,05-02-20,0,3,0,0,0,0
7,06-02-20,0,3,0,0,0,0
8,07-02-20,0,3,0,0,0,0
9,08-02-20,0,3,0,0,0,0
10,09-02-20,0,3,0,0,0,0
11,10-02-20,0,3,0,0,0,0
12,11-02-20,0,3,0,0,0,0
13,12-02-20,0,3,0,0,0,0
14,13-02-20,0,3,1,1,0,0
15,14-02-20,0,3,0,1,0,0
16,15-02-20,0,3,0,1,0,0
17,16-02-20,0,3,1,2,0,0
18,17-02-20,0,3,0,2,0,0
19,18-02-20,0,3,0,2,0,0
20,19-02-20,0,3,0,2,0,0
21,20-02-20,0,3,1,3,0,0
22,21-02-20,0,3,0,3,0,0
23,22-02-20,0,3,0,3,0,0
24,23-02-20,0,3,0,3,0,0
25,24-02-20,0,3,0,3,0,0
26,25-02-20,0,3,0,3,0,0
27,26-02-20,0,3,0,3,0,0
28,27-02-20,0,3,0,3,0,0
29,28-02-20,0,3,0,3,0,0
30,29-02-20,0,3,0,3,0,0
31,01-03-20,0,3,0,3,0,0
32,02-03-20,2,5,0,3,0,0
33,03-03-20,1,6,0,3,0,0
34,04-03-20,22,28,0,3,0,0
35,05-03-20,2,30,0,3,0,0
36,06-03-20,1,31,0,3,0,0
37,07-03-20,3,34,0,3,0,0
38,08-03-20,5,39,0,3,0,0
39,09-03-20,9,48,0,3,0,0
40,10-03-20,15,63,1,4,0,0
41,11-03-20,8,71,0,4,0,0
42,12-03-20,10,81,0,4,1,1
43,13-03-20,10,91,6,10,0,1
44,14-03-20,11,102,0,10,1,2
45,15-03-20,10,112,3,13,0,2
46,16-03-20,14,126,1,14,0,2
47,17-03-20,20,146,1,15,1,3
48,18-03-20,25,171,0,15,0,3
49,19-03-20,27,198,5,20,1,4
50,20-03-20,58,256,3,23,0,4
51,21-03-20,78,334,0,23,0,4
52,22-03-20,69,403,0,23,3,7
53,23-03-20,94,497,2,25,2,9
54,24-03-20,74,571,15,40,1,10
55,25-03-20,86,657,3,43,1,11
56,26-03-20,73,730,7,50,5,16
57,27-03-20,153,883,25,75,3,19
58,28-03-20,136,1019,10,85,5,24
59,29-03-20,120,1139,17,102,3,27
60,30-03-20,187,1326,35,137,14,41
61,31-03-20,309,1635,13,150,6,47
62,01-04-20,424,2059,19,169,6,53
63,02-04-20,486,2545,22,191,16,69
64,03-04-20,560,3105,39,230,14,83
65,04-04-20,579,3684,56,286,13,96
66,05-04-20,609,4293,43,329,22,118
67,06-04-20,484,4777,65,394,16,134
68,07-04-20,573,5350,75,469,27,161
69,08-04-20,565,5915,96,565,20,181
70,09-04-20,813,6728,70,635,46,227
71,10-04-20,871,7599,151,786,22,249
72,11-04-20,854,8453,186,972,41,290
73,12-04-20,758,9211,114,1086,42,332
74,13-04-20,1243,10454,112,1198,27,359
75,14-04-20,1031,11485,167,1365,37,396
76,15-04-20,886,12371,144,1509,27,423
77,16-04-20,1061,13432,258,1767,26,449
78,17-04-20,922,14354,273,2040,38,487
79,18-04-20,1371,15725,426,2466,35,522
80,19-04-20,1580,17305,388,2854,38,560
81,20-04-20,1239,18544,419,3273,33,593
82,21-04-20,1537,20081,703,3976,53,646
83,22-04-20,1292,21373,394,4370,36,682
84,23-04-20,1667,23040,642,5012,40,722
85,24-04-20,1408,24448,484,5496,59,781
86,25-04-20,1835,26283,442,5938,44,825
87,26-04-20,1607,27890,585,6523,56,881
88,27-04-20,1568,29458,580,7103,58,939
89,28-04-20,1902,31360,636,7739,69,1008
90,29-04-20,1705,33065,690,8429,71,1079
91,30-04-20,1801,34866,630,9059,75,1154
92,01-05-20,2396,37262,962,10021,77,1231
93,02-05-20,2564,39826,831,10852,92,1323
94,03-05-20,2952,42778,911,11763,140,1463
95,04-05-20,3656,46434,1082,12845,103,1566
96,05-05-20,2971,49405,1295,14140,128,1694
97,06-05-20,3602,53007,1161,15301,91,1785
98,07-05-20,3344,56351,1475,16776,104,1889
99,08-05-20,3339,59690,1111,17887,97,1986
100,09-05-20,3175,62865,1414,19301,115,2101
101,10-05-20,4311,67176,1669,20970,112,2213
102,11-05-20,3592,70768,1579,22549,81,2294
103,12-05-20,3562,74330,1905,24454,120,2414
104,13-05-20,3726,78056,1963,26417,137,2551
105,14-05-20,3991,82047,1594,28011,97,2648
106,15-05-20,3808,85855,2234,30245,104,2752
107,16-05-20,4794,90649,4012,34257,120,2872
108,17-05-20,5049,95698,2538,36795,152,3024
109,18-05-20,4628,100326,2482,39277,131,3155
110,19-05-20,6154,106480,3032,42309,146,3301
111,20-05-20,5720,112200,3113,45422,134,3435
112,21-05-20,6023,118223,3131,48553,148,3583
113,22-05-20,6536,124759,3280,51833,142,3725
114,23-05-20,6667,131424,2576,54409,142,3867
115,24-05-20,7111,138537,3285,57694,156,4023
116,25-05-20,6414,144951,3012,60706,150,4173
117,26-05-20,5907,150858,3585,64291,173,4346
118,27-05-20,7246,158104,3434,67725,188,4534
119,28-05-20,7254,165358,3171,70896,176,4710
120,29-05-20,8138,173496,11735,82631,269,4979
121,30-05-20,8364,181860,4303,86934,205,5184
122,31-05-20,8789,190649,4928,91862,222,5406
123,01-06-20,7723,198372,3882,95744,201,5607
124,02-06-20,8812,207187,4531,100275,222,5829
125,03-06-20,9689,216876,3789,104064,259,6088
126,04-06-20,9847,226723,4390,108454,274,6362
127,05-06-20,9472,236195,4770,113224,286,6648
128,06-06-20,10408,246603,5433,118657,297,6945
129,07-06-20,10882,257485,5191,123848,261,7206
130,08-06-20,8536,266021,5171,129019,271,7477
131,09-06-20,9981,276002,5634,134653,272,7749
132,10-06-20,11156,287158,6275,140928,358,8107
133,11-06-20,11135,298293,6044,146972,394,8501
134,12-06-20,11306,309599,7263,154235,388,8889
135,13-06-20,12039,321638,8092,162327,309,9198
136,14-06-20,11405,333043,7358,169685,324,9522
137,15-06-20,10032,343075,10639,180324,396,9918
138,16-06-20,11086,354161,7226,187550,2004,11922
139,17-06-20,13108,367269,6890,194440,341,12263
140,18-06-20,13829,381098,10741,205181,343,12606
141,19-06-20,14740,395838,9029,214210,364,12970
142,20-06-20,15918,411753,13974,228184,308,13278
143,21-06-20,15151,426904,9075,237259,426,13704
144,22-06-20,13560,440464,10879,248138,312,14016
145,23-06-20,15656,456120,10462,258600,468,14484
146,24-06-20,16868,472988,13089,271689,424,14908
147,25-06-20,18205,491193,13983,285672,401,15309
148,26-06-20,18255,509448,10246,295918,381,15690
149,27-06-20,20142,529590,14229,310147,414,16104
150,28-06-20,19610,549200,11631,321778,384,16488
151,29-06-20,18339,567539,13497,335275,417,16905
152,30-06-20,18256,585795,12565,347840,506,17411
