,Datetime,State,Confirmed,Cured,Deaths
0,2020-01-30 18:00:00,Kerala,1,0,0
1,2020-01-31 18:00:00,Kerala,1,0,0
2,2020-02-01 18:00:00,Kerala,2,0,0
3,2020-02-02 18:00:00,Kerala,3,0,0
4,2020-02-03 18:00:00,Kerala,3,0,0
5,2020-02-04 18:00:00,Kerala,3,0,0
6,2020-02-05 18:00:00,Kerala,3,0,0
7,2020-02-06 18:00:00,Kerala,3,0,0
8,2020-02-07 18:00:00,Kerala,3,0,0
9,2020-02-08 18:00:00,Kerala,3,0,0
10,2020-02-09 18:00:00,Kerala,3,0,0
11,2020-02-10 18:00:00,Kerala,3,0,0
12,2020-02-11 18:00:00,Kerala,3,0,0
13,2020-02-12 18:00:00,Kerala,3,0,0
14,2020-02-13 18:00:00,Kerala,3,0,0
15,2020-02-14 18:00:00,Kerala,3,0,0
16,2020-02-15 18:00:00,Kerala,3,0,0
17,2020-02-16 18:00:00,Kerala,3,0,0
18,2020-02-17 18:00:00,Kerala,3,0,0
19,2020-02-18 18:00:00,Kerala,3,0,0
20,2020-02-19 18:00:00,Kerala,3,0,0
21,2020-02-20 18:00:00,Kerala,3,0,0
22,2020-02-21 18:00:00,Kerala,3,0,0
23,2020-02-22 18:00:00,Kerala,3,0,0
24,2020-02-23 18:00:00,Kerala,3,0,0
25,2020-02-24 18:00:00,Kerala,3,0,0
26,2020-02-25 18:00:00,Kerala,3,0,0
27,2020-02-26 18:00:00,Kerala,3,0,0
28,2020-02-27 18:00:00,Kerala,3,0,0
29,2020-02-28 18:00:00,Kerala,3,0,0
30,2020-02-29 18:00:00,Kerala,3,0,0
31,2020-03-01 18:00:00,Kerala,3,0,0
32,2020-03-02 18:00:00,Telangana,1,0,0
33,2020-03-02 18:00:00,Kerala,3,0,0
34,2020-03-02 18:00:00,Delhi,1,0,0
35,2020-03-03 18:00:00,Telangana,1,0,0
36,2020-03-03 18:00:00,Rajasthan,1,0,0
37,2020-03-03 18:00:00,Kerala,3,3,0
38,2020-03-03 18:00:00,Delhi,1,0,0
39,2020-03-04 18:00:00,Uttar Pradesh,6,0,0
40,2020-03-04 18:00:00,Kerala,3,3,0
41,2020-03-04 18:00:00,Haryana,2,0,0
42,2020-03-04 18:00:00,Delhi,1,0,0
43,2020-03-04 18:00:00,Telangana,1,0,0
44,2020-03-04 18:00:00,Rajasthan,15,0,0
45,2020-03-05 18:00:00,Delhi,2,0,0
46,2020-03-05 18:00:00,Haryana,2,0,0
47,2020-03-05 18:00:00,Kerala,3,3,0
48,2020-03-05 18:00:00,Rajasthan,15,0,0
49,2020-03-05 18:00:00,Telangana,1,0,0
50,2020-03-05 18:00:00,Uttar Pradesh,7,0,0
51,2020-03-06 18:00:00,Delhi,3,0,0
52,2020-03-06 18:00:00,Haryana,2,0,0
53,2020-03-06 18:00:00,Kerala,3,3,0
54,2020-03-06 18:00:00,Rajasthan,15,0,0
55,2020-03-06 18:00:00,Uttar Pradesh,7,0,0
56,2020-03-06 18:00:00,Telangana,1,0,0
57,2020-03-07 18:00:00,Kerala,3,3,0
58,2020-03-07 18:00:00,Uttar Pradesh,7,0,0
59,2020-03-07 18:00:00,Ladakh,2,0,0
